Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,NACGoals,NACExGoals,OppGoals,OppExGoals,stint_id,coach,start_date,end_date
2018-02-07,NED,NED,Breda,NED,Heracles,6,1,1.27553641796,1.46377253532,64.1745376587,20.0451164246,1278.39404297,1377.83874512,0.98648160696,1.20928239822,,,Wednesday,weekday_rat,weekday,rat_verlegh,6,1.27553641796,1,1.46377253532,13,Stijn Vreven,2017-01-01,2018-06-30
1963-09-08,NED,NED,Breda,NED,Maastricht,2,3,1.79699611664,1.23401618004,70.2006378174,-9.82413482666,1357.86828613,1345.15270996,1.017547369,0.952215731144,,,Sunday,pre_avondje,sunday,beatrix_straat,2,1.79699611664,3,1.23401618004,50,Siem Plooijer,1961-07-01,1966-06-30
2007-01-14,NED,NED,Willem II,NED,Breda,0,2,1.59976935387,1.27525389194,87.0667114258,-13.0824270248,1417.58813477,1451.67797852,1.18954241276,1.09524726868,,,Sunday,uit,uit,uit,2,1.27525389194,0,1.59976935387,22,Ernie Brandts,2006-07-01,2008-06-30
1996-02-24,NED,NED,Breda,NED,Nijmegen,2,1,2.05293703079,0.914095938206,74.1340560913,3.2833750248,1558.04418945,1421.78833008,1.09275245667,1.08853554726,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,2,2.05293703079,1,0.914095938206,31,Wim Rijsbergen,1995-07-01,1997-06-30
2015-04-19,NED,NED,Ajax,NED,Breda,0,0,2.59569358826,0.57611989975,77.3099136353,-8.34537601471,1682.84741211,1342.22644043,0.957396268845,0.989906013012,53.0,,Sunday,uit,uit,uit,0,0.57611989975,0,2.59569358826,15,Robert Maaskant,2015-01-02,2015-10-06
2003-05-06,NED,NED,Breda,NED,Zwolle,2,0,1.9246442318,0.733580112457,99.8742294312,3.84633302689,1540.90136719,1385.83337402,0.876968562603,1.00888574123,,,Tuesday,weekday_rat,weekday,rat_verlegh,2,1.9246442318,0,0.733580112457,27,Henk ten Cate,2000-07-01,2003-06-30
1971-12-19,NED,NED,Feyenoord,NED,Breda,3,1,3.4455499649,0.623434007168,105.720573425,1.08666288853,1824.37145996,1470.99365234,0.903639256954,1.09868407249,10.0,,Sunday,uit,uit,uit,1,0.623434007168,3,3.4455499649,47,Ben Peeters,1971-07-01,1973-05-01
1970-02-08,NED,NED,Telstar,NED,Breda,1,1,1.31759154797,1.27086102962,106.35446167,0.273328602314,1360.5892334,1476.44238281,0.949673652649,0.927822649479,,,Sunday,uit,uit,uit,1,1.27086102962,1,1.31759154797,48,Leo Canjels,1968-04-09,1971-06-30
2003-05-10,NED,NED,Breda,NED,Utrecht,2,0,1.49725532532,1.00881314278,100.656669617,8.08219146729,1544.74768066,1549.78210449,0.873313367367,1.10078144073,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,2,1.49725532532,0,1.00881314278,27,Henk ten Cate,2000-07-01,2003-06-30
1971-09-05,NED,NED,Volendam,NED,Breda,1,1,1.5984108448,0.910103082657,108.189903259,-3.01075983047,1452.80639648,1453.04724121,0.928415894508,1.0825753212,,,Sunday,uit,uit,uit,1,0.910103082657,1,1.5984108448,47,Ben Peeters,1971-07-01,1973-05-01
2011-03-19,NED,NED,Breda,NED,Groningen,0,1,1.58787572384,1.27307891846,102.295562744,-9.44188594818,1482.21777344,1523.49243164,1.08933544159,1.17477118969,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,0,1.58787572384,1,1.27307891846,20,Gert Aandewiel,2010-08-21,2011-06-30
1969-04-27,NED,NED,Breda,NED,Alkmaar,6,0,1.64853656292,0.768783092499,115.335296631,9.93167209625,1405.44946289,1346.51367188,0.910450339317,0.89375269413,,,Sunday,pre_avondje,sunday,beatrix_straat,6,1.64853656292,0,0.768783092499,48,Leo Canjels,1968-04-09,1971-06-30
2004-02-25,NED,NED,Breda,NED,Groningen,1,1,1.79900586605,0.804795026779,92.4306488037,-5.27987527847,1553.70910645,1442.07324219,1.00843954086,0.91737639904,,,Wednesday,weekday_rat,weekday,rat_verlegh,1,1.79900586605,1,0.804795026779,26,Ton Lokhoff,2003-07-01,2005-12-30
1966-10-23,NED,NED,Breda,NED,FC Amsterdam,4,4,1.46442675591,1.53333759308,73.0425796509,0.825097680092,1325.01831055,1426.79309082,0.972301006317,0.95496660471,,,Sunday,pre_avondje,sunday,beatrix_straat,4,1.46442675591,4,1.53333759308,49,Bob Janse,1966-07-01,1968-04-09
2008-03-30,NED,NED,Breda,NED,Feyenoord,3,1,1.48451650143,1.2222161293,84.4630966187,9.65252780914,1512.39111328,1551.18017578,1.00542712212,1.16543328762,,,Sunday,sunday_rat,sunday,rat_verlegh,3,1.48451650143,1,1.2222161293,22,Ernie Brandts,2006-07-01,2008-06-30
1996-05-05,NED,NED,Roda,NED,Breda,5,1,1.84970748425,0.914226949215,84.3549346924,7.80585813522,1677.29064941,1586.28979492,0.978423178196,1.14392566681,60.0,,Sunday,uit,uit,uit,1,0.914226949215,5,1.84970748425,31,Wim Rijsbergen,1995-07-01,1997-06-30
1976-01-04,NED,NED,Utrecht,NED,Breda,1,1,1.76355576515,1.02309131622,123.271522522,-3.07411336899,1456.51269531,1469.4095459,1.21038508415,0.963250279427,,,Sunday,uit,uit,uit,1,1.02309131622,1,1.76355576515,44,Bob Maaskant,1975-07-01,1977-06-30
2014-02-16,NED,NED,Breda,NED,Feyenoord,1,1,1.20495808125,1.59380972385,84.0120010376,2.26987409592,1418.37402344,1582.64746094,1.05406498909,1.10281586647,,,Sunday,sunday_rat,sunday,rat_verlegh,1,1.20495808125,1,1.59380972385,17,Nebojsa Gudelj,2012-11-21,2014-10-13
1975-03-01,NED,NED,PSV,NED,Breda,1,0,3.90002179146,0.706559479237,121.238586426,0.739253222942,1764.25317383,1427.88415527,1.14384651184,1.05963385105,13.0,,Saturday,uit,uit,uit,0,0.706559479237,1,3.90002179146,45,Jo Jansen,1974-11-29,1975-06-30
1968-04-21,NED,NED,Sparta Rotterdam,NED,Breda,2,1,2.22132301331,0.70235478878,99.8205947876,2.0916390419,1492.20617676,1295.421875,0.849944293499,0.923006653786,,,Sunday,uit,uit,uit,1,0.70235478878,2,2.22132301331,48,Leo Canjels,1968-04-09,1971-06-30
1999-05-08,NED,NED,Breda,NED,Sparta Rotterdam,5,0,1.558147192,1.12357127666,84.7175064087,13.6051168442,1377.24743652,1389.6751709,1.01984977722,1.1211322546,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,5,1.558147192,0,1.12357127666,28,Kees Zwamborn,1999-03-23,2000-06-30
