Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
21/08/1976,NED,NED,Breda,NED,Nijmegen,1,0,1.351522684,0.938645482,118.2661514,6.327215195,1485.81543,1534.165161,0.933629036,0.926158428,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,01/07/1975,30/06/1977
27/09/2014,NED,NED,Breda,NED,Ajax,2,5,0.911710203,1.822439432,86.25769043,-6.298022747,1383.760864,1661.64978,1.014049053,0.960043848,,65,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,21/11/2012,13/10/2014
12/11/1977,NED,NED,Breda,NED,FC Amsterdam,3,2,1.758424997,0.851310015,123.1838913,4.118980408,1513.115601,1466.665649,0.913201451,1.121767282,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,01/07/1977,30/06/1979
10/12/2005,NED,NED,Breda,NED,Heracles,2,1,1.74965322,1.004161,79.41510773,4.398504257,1462.926025,1388.295044,1.10430038,1.009201527,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,25,Mark Schenning,01/07/2005,30/06/2006
02/06/1979,NED,NED,Breda,NED,Feyenoord,0,0,1.128082395,1.42834866,119.1828766,1.826689243,1516.064575,1699.433594,0.958190262,0.948734462,,41,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
27/03/1982,NED,NED,Breda,NED,Twente,0,0,1.638179541,1.139722824,100.5746994,-2.175542593,1502.480103,1526.241211,1.044305444,1.11833477,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
23/08/1980,NED,NED,Breda,NED,Alkmaar,1,4,1.287430882,1.759337783,121.2529602,-9.741534233,1486.167236,1688.278076,1.012073159,1.144453645,,46,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
27/09/2008,NED,NED,Breda,NED,Heerenveen,4,2,1.590771914,1.315416336,86.23012543,9.825357437,1517.085693,1568.940674,1.030597329,1.307428718,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
18/08/2007,NED,NED,Breda,NED,Groningen,0,3,1.43987453,1.359522462,87.3194046,-14.08850098,1450.421997,1531.458008,1.104623556,1.094613791,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,22,Ernie Brandts,01/07/2006,30/06/2008
14/10/2006,NED,NED,Breda,NED,Nijmegen,0,2,1.442750096,1.159348369,81.59173584,-12.96370125,1431.59314,1468.306885,1.15216434,0.958680868,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,22,Ernie Brandts,01/07/2006,30/06/2008
20/12/2003,NED,NED,Breda,NED,Roosendaal,3,2,1.671751857,0.772962034,97.81719971,3.753386021,1526.743774,1434.616943,0.96446085,0.872391224,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,26,Ton Lokhoff,01/07/2003,30/12/2005
27/10/1979,NED,NED,Breda,NED,Twente,1,0,1.558965683,1.098603845,126.3248291,6.164124966,1477.338989,1532.938965,0.962503374,1.128731966,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
02/10/2010,NED,NED,Breda,NED,Nijmegen,2,0,1.651051164,0.961744547,95.0535965,6.456315994,1487.769653,1431.751099,1.023088455,1.02658546,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,20,Gert Aandewiel,21/08/2010,30/06/2011
26/10/2024,NED,NED,Breda,NED,Waalwijk,4,1,1.453790426,1.125792265,56.45031738,11.35575008,1354.645508,1351.957397,0.977370918,1.054081321,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,0,Carl Hoefkens,01/07/2024,31/12/2028
20/12/1980,NED,NED,Breda,NED,Den Haag,1,0,1.620655656,1.207307577,117.8507004,6.395165443,1463.339355,1521.900391,1.042378783,1.137567878,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
06/12/1997,NED,NED,Breda,NED,Sparta Rotterdam,1,2,1.674079895,1.125874519,86.57495117,-9.953821182,1518.162842,1520.991333,1.040517092,1.181642056,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,30,Herbert Neumann,01/07/1997,08/10/1998
27/08/1977,NED,NED,Breda,NED,Ajax,0,0,1.025026917,1.625826359,129.1962128,3.387020588,1512.28125,1763.992188,0.925587714,0.924159467,,14,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,01/07/1977,30/06/1979
08/05/1976,NED,NED,Breda,NED,Twente,1,0,0.994842172,1.789188862,118.8404236,11.83157158,1473.078125,1738.64917,0.971385837,0.906394005,,22,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,01/07/1975,30/06/1977
25/01/2014,NED,NED,Breda,NED,Zwolle,1,2,1.621646404,1.026493073,85.27762604,-11.04816723,1410.398926,1378.80542,1.071151853,0.971107364,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,21/11/2012,13/10/2014
20/09/1980,NED,NED,Breda,NED,Twente,1,2,1.436145186,1.333887339,120.7754059,-7.782483578,1480.738647,1600.50061,1.023029804,1.091844678,,98,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
15/03/2008,NED,NED,Breda,NED,Excelsior,2,0,2.145797253,0.791190803,82.08466339,3.527550936,1508.480347,1323.187256,0.988129854,1.07072401,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,22,Ernie Brandts,01/07/2006,30/06/2008
22/12/2001,NED,NED,Breda,NED,Heerenveen,2,1,1.32870245,1.114636064,102.7081299,7.108742714,1536.345215,1601.358521,0.983826816,0.959496796,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
09/12/1978,NED,NED,Breda,NED,Roda,0,0,1.201727271,1.341977,112.9671021,1.211475492,1495.700439,1650.966187,1.006430507,0.933350861,,64,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,01/07/1977,30/06/1979
04/12/1993,NED,NED,Breda,NED,PSV,2,2,1.055050015,1.99718225,74.63439941,4.227046967,1415.080322,1646.401489,1.085871458,1.038789034,,73,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,32,Ronald Spelbos,01/01/1993,30/06/1995
08/11/1980,NED,NED,Breda,NED,Wageningen,1,1,1.663273454,0.896709621,115.1406403,-3.71873641,1461.856567,1441.290405,1.033571363,0.992542505,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
05/11/2011,NED,NED,Breda,NED,Vitesse,1,0,1.552768588,1.117477298,106.4238815,6.147437572,1454.039063,1484.201904,1.100864053,1.053519368,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,19,John Karelse,01/07/2011,23/10/2012
31/03/2007,NED,NED,Breda,NED,PSV,1,1,0.861858368,2.030626535,84.53957367,5.634914398,1483.423828,1789.604492,1.11788094,0.870021105,,22,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,22,Ernie Brandts,01/07/2006,30/06/2008
13/03/2010,NED,NED,Breda,NED,Groningen,0,3,1.529991984,1.144314528,88.28070831,-17.01489258,1478.739136,1498.978638,1.108556867,1.06278336,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
01/11/2003,NED,NED,Breda,NED,PSV,1,3,0.930311739,1.66020143,96.13349915,-6.35563612,1566.593506,1807.001099,0.918961823,0.990291238,,17,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,26,Ton Lokhoff,01/07/2003,30/12/2005
31/08/2002,NED,NED,Breda,NED,Nijmegen,0,0,1.7585814,0.962894142,103.0302505,-4.383005619,1559.849243,1499.541138,1.01969564,1.007095814,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
02/02/1985,NED,NED,Breda,NED,Feyenoord,1,3,0.950460374,2.522356987,95.1513443,-3.711809158,1358.609863,1695.177612,0.952545106,1.184262276,,42,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,39,Bob Maaskant,01/07/1984,30/06/1986
22/01/1977,NED,NED,Breda,NED,Alkmaar,0,0,1.399641514,1.296090007,129.7275238,0.099606253,1520.886108,1654.074341,1.004757166,1.041577339,,62,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,01/07/1975,30/06/1977
15/10/2005,NED,NED,Breda,NED,Heerenveen,0,3,1.426567316,1.597421408,75.51005554,-11.49413967,1475.220581,1595.276123,1.086581349,1.176254749,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,25,Mark Schenning,01/07/2005,30/06/2006
07/02/1981,NED,NED,Breda,NED,Zwolle,0,0,1.44258213,0.938488841,117.7453995,-2.373245478,1468.105713,1501.793579,1.037426114,0.894481361,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
16/04/1983,NED,NED,Breda,NED,Roda,2,2,1.456572056,1.456427455,107.9007492,0.362485796,1400.74292,1521.243164,1.034452319,1.162483931,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
19/01/2013,NED,NED,Breda,NED,Venlo,1,0,1.806106329,1.080915809,83.37595367,4.628296375,1387.572632,1330.115479,1.034388065,1.127544045,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,21/11/2012,13/10/2014
08/05/1999,NED,NED,Breda,NED,Sparta Rotterdam,5,0,1.558147192,1.123571277,84.71750641,13.60511684,1377.247437,1389.675171,1.019849777,1.121132255,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,28,Kees Zwamborn,23/03/1999,30/06/2000
30/04/1983,NED,NED,Breda,NED,Willem II,2,2,1.698815346,1.205872536,106.572113,-1.892118931,1407.756592,1447.787964,1.063190341,1.177898288,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
16/05/2009,PS2,NED,Breda,NED,Feyenoord,3,2,1.440527797,1.207942128,90.1681366,3.001155138,1446.238159,1503.621582,1.038680315,1.121255159,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
30/01/2010,NED,NED,Breda,NED,Venlo,2,0,1.932609558,0.889175057,86.3133316,4.831261158,1490.047729,1369.876221,1.083400249,0.994813144,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
21/11/2009,NED,NED,Breda,NED,Nijmegen,3,3,1.53616631,0.914794505,82.65323639,-3.984389544,1501.685059,1437.792725,1.050977349,0.900378466,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,01/07/2008,20/08/2010
09/11/2002,NED,NED,Breda,NED,Groningen,0,0,2.0937922,0.765585363,97.99441528,-6.476322174,1575.053467,1405.102173,0.97562027,1.004096389,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,27,Henk ten Cate,01/07/2000,30/06/2003
26/02/1983,NED,NED,Breda,NED,Groningen,1,1,1.406404614,1.491763949,98.02138519,0.878453732,1408.273804,1536.894653,1.028597713,1.155714393,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,22/01/1979,30/06/1983
22/12/2018,NED,NED,Breda,NED,Heerenveen,4,2,1.344216824,1.561494946,63.18061447,12.58083439,1305.850952,1407.311523,1.026024342,1.250590205,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,12,Mitchell van der Gaag,01/07/2018,18/03/2019
04/03/2006,NED,NED,Breda,NED,Roosendaal,2,1,1.886149526,1.004493356,72.1660614,4.014267921,1433.597046,1335.5625,1.108102798,1.05351007,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,24,Cees Lok,02/01/2006,23/04/2006
