Date,Country,HomeCountry,Home,AwayCountry,Away,HomeGoals,AwayGoals,HomeExGoals,AwayExGoals,HFA,EloChange,HomeElo,AwayElo,HomeTilt,AwayTilt,HomeRank,AwayRank,day_name,period,day_type,stadium,stint_id,coach,start_date,end_date
2013-03-02,NED,NED,Breda,NED,Heerenveen,1,2,1.55101263523,1.34768927097,80.2156982422,-8.74193382263,1426.08813477,1468.94116211,1.01647996902,1.26511156559,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,2012-11-21,2014-10-13
2015-02-20,NED,NED,Breda,NED,Cambuur,2,1,1.24405479431,1.24244177341,77.314125061,8.18610286713,1317.64074707,1401.63757324,0.990087151527,1.0073363781,,,Friday,weekday_rat,weekday,rat_verlegh,15,Robert Maaskant,2015-01-02,2015-10-06
2009-10-24,NED,NED,Breda,NED,Waalwijk,1,0,2.2058391571,0.77460193634,83.9453735352,2.24723029137,1494.3347168,1290.99304199,1.06078457832,1.00720143318,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,2008-07-01,2010-08-20
1968-01-21,NED,NED,Breda,NED,Utrecht,1,1,1.74174869061,1.19798183441,91.4973526001,-2.04319572449,1310.85595703,1330.35205078,0.896639883518,1.20173203945,,,Sunday,pre_avondje,sunday,beatrix_straat,49,Bob Janse,1966-07-01,1968-04-09
1967-09-10,NED,NED,Breda,NED,Feyenoord,0,3,0.981557309628,2.26721143723,83.3659973145,-5.70178174973,1348.20300293,1630.65087891,0.940549612045,1.02117073536,,84.0,Sunday,pre_avondje,sunday,beatrix_straat,49,Bob Janse,1966-07-01,1968-04-09
1998-11-11,NED,NED,Breda,NED,Nijmegen,1,2,1.51061666012,1.09325742722,92.851776123,-9.62654972076,1454.7635498,1477.47241211,1.04220020771,1.03283119202,,,Wednesday,weekday_rat,weekday,rat_verlegh,29,Ronald Spelbos,1998-10-13,1999-03-22
1994-04-23,NED,NED,Breda,NED,Vitesse,2,2,1.27928626537,1.29172170162,84.102180481,0.621496379375,1463.29162598,1569.01464844,1.09442591667,0.993619978428,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,32,Ronald Spelbos,1993-01-01,1995-06-30
1973-04-08,NED,NED,Breda,NED,Den Haag,1,2,1.08988916874,1.63612782955,107.740364075,-5.25542974472,1427.96618652,1638.17456055,0.994977772236,0.891522109509,,72.0,Sunday,pre_avondje,sunday,beatrix_straat,47,Ben Peeters,1971-07-01,1973-05-01
1976-08-21,NED,NED,Breda,NED,Nijmegen,1,0,1.3515226841,0.938645482063,118.266151428,6.3272151947,1485.81542969,1534.16516113,0.93362903595,0.926158428192,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,44,Bob Maaskant,1975-07-01,1977-06-30
2001-10-14,NED,NED,Breda,NED,Den Bosch,0,0,1.71021389961,0.897218465805,95.045753479,-4.59267044067,1492.00634766,1414.59130859,0.95046800375,0.982999801636,,,Sunday,sunday_rat,sunday,rat_verlegh,27,Henk ten Cate,2000-07-01,2003-06-30
1998-09-09,NED,NED,Breda,NED,Twente,1,1,1.29928708076,1.15673589706,93.6225585938,-0.448852747679,1474.8581543,1552.87548828,1.06097340584,0.927529335022,,,Wednesday,weekday_rat,weekday,rat_verlegh,30,Herbert Neumann,1997-07-01,1998-10-08
2010-01-17,NED,NED,Breda,NED,Ajax,1,1,1.2716344595,2.00455641747,83.9504470825,3.20108795166,1481.09387207,1680.3125,1.10748100281,1.24080967903,,60.0,Sunday,sunday_rat,sunday,rat_verlegh,21,Robert Maaskant,2008-07-01,2010-08-20
2014-09-27,NED,NED,Breda,NED,Ajax,2,5,0.911710202694,1.82243943214,86.2576904297,-6.29802274704,1383.76086426,1661.64978027,1.01404905319,0.960043847561,,65.0,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,17,Nebojsa Gudelj,2012-11-21,2014-10-13
1977-11-12,NED,NED,Breda,NED,FC Amsterdam,3,2,1.75842499733,0.851310014725,123.183891296,4.11898040771,1513.11560059,1466.66564941,0.913201451302,1.12176728249,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,43,Hans Dorjee,1977-07-01,1979-06-30
2005-12-10,NED,NED,Breda,NED,Heracles,2,1,1.74965322018,1.00416100025,79.4151077271,4.3985042572,1462.92602539,1388.29504395,1.10430037975,1.00920152664,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,25,Mark Schenning,2005-07-01,2006-06-30
1974-11-17,NED,NED,Breda,NED,FC Amsterdam,3,0,1.25975012779,1.40140354633,120.5104599,15.563076973,1399.71777344,1558.72009277,1.06056523323,0.91634452343,,,Sunday,pre_avondje,sunday,beatrix_straat,46,Henk Wullems,1973-05-02,1974-11-28
1979-06-02,NED,NED,Breda,NED,Feyenoord,0,0,1.1280823946,1.42834866047,119.182876587,1.82668924332,1516.0645752,1699.43359375,0.958190262318,0.948734462261,,41.0,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,1979-01-22,1983-06-30
1973-12-09,NED,NED,Breda,NED,Twente,0,2,0.759474694729,2.28473973274,111.43221283,-3.39889478683,1374.1315918,1751.85986328,1.0648611784,0.848774254322,,17.0,Sunday,pre_avondje,sunday,beatrix_straat,46,Henk Wullems,1973-05-02,1974-11-28
1982-03-27,NED,NED,Breda,NED,Twente,0,0,1.63817954063,1.1397228241,100.574699402,-2.175542593,1502.48010254,1526.24121094,1.04430544376,1.1183347702,,,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,1979-01-22,1983-06-30
1980-08-23,NED,NED,Breda,NED,Alkmaar,1,4,1.28743088245,1.75933778286,121.252960205,-9.74153423309,1486.16723633,1688.27807617,1.01207315922,1.14445364475,,46.0,Saturday,avondje_nac_bea,avondje_nac,beatrix_straat,42,Jo Jansen,1979-01-22,1983-06-30
1963-11-10,NED,NED,Breda,NED,Sittard,4,2,2.11341118813,1.18685305119,70.6066665649,5.79354953766,1418.85314941,1335.62280273,1.04778635502,1.01163852215,,,Sunday,pre_avondje,sunday,beatrix_straat,50,Siem Plooijer,1961-07-01,1966-06-30
1975-04-13,NED,NED,Breda,NED,Roda,2,1,1.56755375862,1.069627285,120.726654053,6.0836853981,1441.88818359,1491.00891113,1.02847886086,1.04234135151,,,Sunday,pre_avondje,sunday,beatrix_straat,45,Jo Jansen,1974-11-29,1975-06-30
2012-04-11,NED,NED,Breda,NED,Heracles,1,2,1.50739347935,1.18335306644,109.61529541,-9.73222541809,1462.16345215,1505.39660645,1.02804386616,1.14943504333,,,Wednesday,weekday_rat,weekday,rat_verlegh,19,John Karelse,2011-07-01,2012-10-23
2008-09-27,NED,NED,Breda,NED,Heerenveen,4,2,1.59077191353,1.31541633606,86.2301254272,9.82535743713,1517.08569336,1568.94067383,1.03059732914,1.30742871761,,,Saturday,avondje_nac_rat,avondje_nac,rat_verlegh,21,Robert Maaskant,2008-07-01,2010-08-20
